Date,^GSPC,^IXIC,^GDAXI,^DJI
2018-06-18,2773.75,7747.02978515625,12834.1103515625,24987.470703125
2018-06-19,2762.590087890625,7725.58984375,12677.9697265625,24700.2109375
2018-06-20,2767.320068359375,7781.509765625,12695.16015625,24657.80078125
2018-06-21,2749.760009765625,7712.9501953125,12511.91015625,24461.69921875
2018-06-22,2754.8798828125,7692.81982421875,12579.7197265625,24580.890625
2018-06-25,2717.070068359375,7532.009765625,12270.330078125,24252.80078125
2018-06-26,2723.06005859375,7561.6298828125,12234.33984375,24283.109375
2018-06-27,2699.6298828125,7445.080078125,12348.6103515625,24117.58984375
2018-06-28,2716.31005859375,7503.68017578125,12177.23046875,24216.05078125
2018-06-29,2718.3701171875,7510.2998046875,12306.0,24271.41015625
2018-07-02,2726.7099609375,7567.68994140625,12238.169921875,24307.1796875
2018-07-03,2713.219970703125,7502.669921875,12349.1396484375,24174.8203125
2018-07-05,2736.610107421875,7586.43017578125,12464.2900390625,24356.740234375
2018-07-06,2759.820068359375,7688.39013671875,12496.169921875,24456.48046875
2018-07-09,2784.169921875,7756.2001953125,12543.8896484375,24776.58984375
2018-07-10,2793.840087890625,7759.2001953125,12609.849609375,24919.66015625
2018-07-11,2774.02001953125,7716.60986328125,12417.1298828125,24700.44921875
2018-07-12,2798.2900390625,7823.919921875,12492.9697265625,24924.890625
2018-07-13,2801.31005859375,7825.97998046875,12540.73046875,25019.41015625
2018-07-16,2798.429931640625,7805.72021484375,12561.01953125,25064.359375
2018-07-17,2809.550048828125,7855.1201171875,12661.5400390625,25119.890625
2018-07-18,2815.6201171875,7854.43994140625,12765.9404296875,25199.2890625
2018-07-19,2804.489990234375,7825.2998046875,12686.2900390625,25064.5
2018-07-20,2801.830078125,7820.2001953125,12561.419921875,25058.119140625
2018-07-23,2806.97998046875,7841.8701171875,12548.5703125,25044.2890625
2018-07-24,2820.39990234375,7840.77001953125,12689.3896484375,25241.939453125
2018-07-25,2846.070068359375,7932.240234375,12579.330078125,25414.099609375
2018-07-26,2837.43994140625,7852.18017578125,12809.23046875,25527.0703125
2018-07-27,2818.820068359375,7737.419921875,12860.400390625,25451.060546875
2018-07-30,2802.60009765625,7630.0,12798.2001953125,25306.830078125
2018-07-31,2816.2900390625,7671.7900390625,12805.5,25415.189453125
2018-08-01,2813.360107421875,7707.2900390625,12737.0498046875,25333.8203125
2018-08-02,2827.219970703125,7802.68994140625,12546.330078125,25326.16015625
2018-08-03,2840.35009765625,7812.009765625,12615.759765625,25462.580078125
2018-08-06,2850.39990234375,7859.68017578125,12598.2099609375,25502.1796875
2018-08-07,2858.449951171875,7883.66015625,12648.1904296875,25628.91015625
2018-08-08,2857.699951171875,7888.330078125,12633.5400390625,25583.75
2018-08-09,2853.580078125,7891.77978515625,12676.1103515625,25509.23046875
2018-08-10,2833.280029296875,7839.10986328125,12424.349609375,25313.140625
2018-08-13,2821.929931640625,7819.7099609375,12358.740234375,25187.69921875
2018-08-14,2839.9599609375,7870.89013671875,12358.8701171875,25299.919921875
2018-08-15,2818.3701171875,7774.1201171875,12163.009765625,25162.41015625
2018-08-16,2840.68994140625,7806.52001953125,12237.169921875,25558.73046875
2018-08-17,2850.1298828125,7816.330078125,12210.5498046875,25669.3203125
2018-08-20,2857.050048828125,7821.009765625,12331.2998046875,25758.689453125
2018-08-21,2862.9599609375,7859.169921875,12384.490234375,25822.2890625
2018-08-22,2861.820068359375,7889.10009765625,12385.7001953125,25733.599609375
2018-08-23,2856.97998046875,7878.4599609375,12365.580078125,25656.98046875
2018-08-24,2874.68994140625,7945.97998046875,12394.51953125,25790.349609375
2018-08-27,2896.739990234375,8017.89990234375,12538.3095703125,26049.640625
2018-08-28,2897.52001953125,8030.0400390625,12527.419921875,26064.01953125
2018-08-29,2914.0400390625,8109.68994140625,12561.6796875,26124.5703125
2018-08-30,2901.1298828125,8088.35986328125,12494.240234375,25986.919921875
2018-08-31,2901.52001953125,8109.5400390625,12364.0595703125,25964.8203125
2018-09-04,2896.719970703125,8091.25,12210.2099609375,25952.48046875
2018-09-05,2888.60009765625,7995.169921875,12040.4599609375,25974.990234375
2018-09-06,2878.050048828125,7922.72998046875,11955.25,25995.869140625
2018-09-07,2871.679931640625,7902.5400390625,11959.6298828125,25916.5390625
2018-09-10,2877.1298828125,7924.16015625,11986.33984375,25857.0703125
2018-09-11,2887.889892578125,7972.47021484375,11970.26953125,25971.060546875
2018-09-12,2888.919921875,7954.22998046875,12032.2998046875,25998.919921875
2018-09-13,2904.179931640625,8013.7099609375,12055.5498046875,26145.990234375
2018-09-14,2904.97998046875,8010.0400390625,12124.330078125,26154.669921875
2018-09-17,2888.800048828125,7895.7900390625,12096.41015625,26062.119140625
2018-09-18,2904.31005859375,7956.10986328125,12157.669921875,26246.9609375
2018-09-19,2907.949951171875,7950.0400390625,12219.01953125,26405.759765625
2018-09-20,2930.75,8028.22998046875,12326.48046875,26656.98046875
2018-09-21,2929.669921875,7986.9599609375,12430.8798828125,26743.5
2018-09-24,2919.3701171875,7993.25,12350.8203125,26562.05078125
2018-09-25,2915.56005859375,8007.47021484375,12374.66015625,26492.2109375
2018-09-26,2905.969970703125,7990.3701171875,12385.8896484375,26385.279296875
2018-09-27,2914.0,8041.97021484375,12435.58984375,26439.9296875
2018-09-28,2913.97998046875,8046.35009765625,12246.73046875,26458.310546875
2018-10-01,2924.590087890625,8037.2998046875,12339.0302734375,26651.2109375
2018-10-02,2923.429931640625,7999.5498046875,12287.580078125,26773.939453125
2018-10-03,2925.510009765625,8025.08984375,,26828.390625
2018-10-04,2901.610107421875,7879.509765625,12244.1396484375,26627.48046875
2018-10-05,2885.570068359375,7788.4501953125,12111.900390625,26447.05078125
2018-10-08,2884.429931640625,7735.9501953125,11947.16015625,26486.779296875
2018-10-09,2880.340087890625,7738.02001953125,11977.2197265625,26430.5703125
2018-10-10,2785.679931640625,7422.0498046875,11712.5,25598.740234375
2018-10-11,2728.3701171875,7329.06005859375,11539.349609375,25052.830078125
2018-10-12,2767.1298828125,7496.89013671875,11523.8095703125,25339.990234375
2018-10-15,2750.7900390625,7430.740234375,11614.16015625,25250.55078125
2018-10-16,2809.919921875,7645.490234375,11776.5498046875,25798.419921875
2018-10-17,2809.2099609375,7642.7001953125,11715.0302734375,25706.6796875
2018-10-18,2768.780029296875,7485.14013671875,11589.2099609375,25379.44921875
2018-10-19,2767.780029296875,7449.02978515625,11553.830078125,25444.33984375
2018-10-22,2755.8798828125,7468.6298828125,11524.33984375,25317.41015625
2018-10-23,2740.68994140625,7437.5400390625,11274.2802734375,25191.4296875
2018-10-24,2656.10009765625,7108.39990234375,11191.6298828125,24583.419921875
2018-10-25,2705.570068359375,7318.33984375,11307.1201171875,24984.55078125
2018-10-26,2658.68994140625,7167.2099609375,11200.6201171875,24688.310546875
2018-10-29,2641.25,7050.2900390625,11335.48046875,24442.919921875
2018-10-30,2682.6298828125,7161.64990234375,11287.3896484375,24874.640625
2018-10-31,2711.739990234375,7305.89990234375,11447.509765625,25115.759765625
2018-11-01,2740.3701171875,7434.06005859375,11468.5400390625,25380.740234375
2018-11-02,2723.06005859375,7356.990234375,11518.990234375,25270.830078125
2018-11-05,2738.31005859375,7328.85009765625,11494.9599609375,25461.69921875
2018-11-06,2755.449951171875,7375.9599609375,11484.33984375,25635.009765625
2018-11-07,2813.889892578125,7570.75,11579.099609375,26180.30078125
2018-11-08,2806.830078125,7530.8798828125,11527.3203125,26191.220703125
2018-11-09,2781.010009765625,7406.89990234375,11529.16015625,25989.30078125
2018-11-12,2726.219970703125,7200.8701171875,11325.4404296875,25387.1796875
2018-11-13,2722.179931640625,7200.8701171875,11472.2197265625,25286.490234375
2018-11-14,2701.580078125,7136.39013671875,11412.5302734375,25080.5
2018-11-15,2730.199951171875,7259.02978515625,11353.669921875,25289.26953125
2018-11-16,2736.27001953125,7247.8701171875,11341.0,25413.220703125
2018-11-19,2690.72998046875,7028.47998046875,11244.5400390625,25017.439453125
2018-11-20,2641.889892578125,6908.81982421875,11066.41015625,24465.640625
2018-11-21,2649.929931640625,6972.25,11244.169921875,24464.689453125
2018-11-23,2632.56005859375,6938.97998046875,11192.6904296875,24285.94921875
2018-11-26,2673.449951171875,7081.85009765625,11354.7197265625,24640.240234375
2018-11-27,2682.169921875,7082.7001953125,11309.1103515625,24748.73046875
2018-11-28,2743.7900390625,7291.58984375,11298.8798828125,25366.4296875
2018-11-29,2737.800048828125,7273.080078125,11298.23046875,25338.83984375
2018-11-30,2760.169921875,7330.5400390625,11257.240234375,25538.4609375
2018-12-03,2790.3701171875,7441.509765625,11465.4599609375,25826.4296875
2018-12-04,2700.06005859375,7158.43017578125,11335.3203125,25027.0703125
2018-12-06,2695.949951171875,7188.259765625,10810.98046875,24947.669921875
2018-12-07,2633.080078125,6969.25,10788.08984375,24388.94921875
2018-12-10,2637.719970703125,7020.52001953125,10622.0703125,24423.259765625
2018-12-11,2636.780029296875,7031.830078125,10780.509765625,24370.240234375
2018-12-12,2651.070068359375,7098.31005859375,10929.4296875,24527.26953125
2018-12-13,2650.5400390625,7070.330078125,10924.7001953125,24597.380859375
2018-12-14,2599.949951171875,6910.66015625,10865.76953125,24100.509765625
2018-12-17,2545.93994140625,6753.72998046875,10772.2001953125,23592.98046875
2018-12-18,2546.159912109375,6783.91015625,10740.8896484375,23675.640625
2018-12-19,2506.9599609375,6636.830078125,10766.2099609375,23323.66015625
2018-12-20,2467.419921875,6528.41015625,10611.099609375,22859.599609375
2018-12-21,2416.6201171875,6332.990234375,10633.8203125,22445.369140625
2018-12-24,2351.10009765625,6192.919921875,,21792.19921875
2018-12-26,2467.699951171875,6554.35986328125,,22878.44921875
2018-12-27,2488.830078125,6579.490234375,10381.509765625,23138.8203125
2018-12-28,2485.739990234375,6584.52001953125,10558.9599609375,23062.400390625
2018-12-31,2506.85009765625,6635.27978515625,,23327.4609375
2019-01-02,2510.030029296875,6665.93994140625,10580.1904296875,23346.240234375
2019-01-03,2447.889892578125,6463.5,10416.66015625,22686.220703125
2019-01-04,2531.93994140625,6738.85986328125,10767.6904296875,23433.16015625
2019-01-07,2549.68994140625,6823.47021484375,10747.8095703125,23531.349609375
2019-01-08,2574.409912109375,6897.0,10803.98046875,23787.44921875
2019-01-09,2584.9599609375,6957.080078125,10893.3203125,23879.119140625
2019-01-10,2596.639892578125,6986.06982421875,10921.58984375,24001.919921875
2019-01-11,2596.260009765625,6971.47998046875,10887.4599609375,23995.94921875
2019-01-14,2582.610107421875,6905.919921875,10855.91015625,23909.83984375
2019-01-15,2610.300048828125,7023.830078125,10891.7900390625,24065.58984375
2019-01-16,2616.10009765625,7034.68994140625,10931.240234375,24207.16015625
2019-01-17,2635.9599609375,7084.4599609375,10918.6201171875,24370.099609375
2019-01-18,2670.7099609375,7157.22998046875,11205.5400390625,24706.349609375
2019-01-22,2632.89990234375,7020.35986328125,11090.1103515625,24404.48046875
2019-01-23,2638.699951171875,7025.77001953125,11071.5400390625,24575.619140625
2019-01-24,2642.330078125,7073.4599609375,11130.1796875,24553.240234375
2019-01-25,2664.760009765625,7164.85986328125,11281.7900390625,24737.19921875
2019-01-28,2643.85009765625,7085.68017578125,11210.3095703125,24528.220703125
2019-01-29,2640.0,7028.2900390625,11218.830078125,24579.9609375
2019-01-30,2681.050048828125,7183.080078125,11181.66015625,25014.859375
2019-01-31,2704.10009765625,7281.740234375,11173.099609375,24999.669921875
2019-02-01,2706.530029296875,7263.8701171875,11180.66015625,25063.890625
2019-02-04,2724.8701171875,7347.5400390625,11176.580078125,25239.369140625
2019-02-05,2737.699951171875,7402.080078125,11367.98046875,25411.51953125
2019-02-06,2731.610107421875,7375.27978515625,11324.7197265625,25390.30078125
2019-02-07,2706.050048828125,7288.35009765625,11022.01953125,25169.529296875
2019-02-08,2707.8798828125,7298.2001953125,10906.7802734375,25106.330078125
2019-02-11,2709.800048828125,7307.89990234375,11014.58984375,25053.109375
2019-02-12,2744.72998046875,7414.6201171875,11126.080078125,25425.759765625
2019-02-13,2753.030029296875,7420.3798828125,11167.2197265625,25543.26953125
2019-02-14,2745.72998046875,7426.9501953125,11089.7900390625,25439.390625
2019-02-15,2775.60009765625,7472.41015625,11299.7998046875,25883.25
2019-02-19,2779.760009765625,7486.77001953125,11309.2099609375,25891.3203125
2019-02-20,2784.699951171875,7489.06982421875,11401.9697265625,25954.439453125
2019-02-21,2774.8798828125,7459.7099609375,11423.2802734375,25850.630859375
2019-02-22,2792.669921875,7527.5400390625,11457.7001953125,26031.810546875
2019-02-25,2796.110107421875,7554.4599609375,11505.3896484375,26091.94921875
2019-02-26,2793.89990234375,7549.2998046875,11540.7900390625,26057.98046875
2019-02-27,2792.3798828125,7554.509765625,11487.330078125,25985.16015625
2019-02-28,2784.489990234375,7532.52978515625,11515.6396484375,25916.0
2019-03-01,2803.68994140625,7595.35009765625,11601.6796875,26026.3203125
2019-03-04,2792.81005859375,7577.56982421875,11592.66015625,25819.650390625
2019-03-05,2789.64990234375,7576.35986328125,11620.740234375,25806.630859375
2019-03-06,2771.449951171875,7505.919921875,11587.6298828125,25673.4609375
2019-03-07,2748.929931640625,7421.4599609375,11517.7998046875,25473.23046875
2019-03-08,2743.070068359375,7408.14013671875,11457.83984375,25450.240234375
2019-03-11,2783.300048828125,7558.06005859375,11543.48046875,25650.880859375
2019-03-12,2791.52001953125,7591.02978515625,11524.169921875,25554.66015625
2019-03-13,2810.919921875,7643.41015625,11572.41015625,25702.890625
2019-03-14,2808.47998046875,7630.91015625,11587.4697265625,25709.939453125
2019-03-15,2822.47998046875,7688.52978515625,11685.6904296875,25848.869140625
2019-03-18,2832.93994140625,7714.47998046875,11657.0595703125,25914.099609375
2019-03-19,2832.570068359375,7723.9501953125,11788.41015625,25887.380859375
2019-03-20,2824.22998046875,7728.97021484375,11603.8896484375,25745.669921875
2019-03-21,2854.8798828125,7838.9599609375,11549.9599609375,25962.509765625
2019-03-22,2800.7099609375,7642.669921875,11364.169921875,25502.3203125
2019-03-25,2798.360107421875,7637.5400390625,11346.650390625,25516.830078125
2019-03-26,2818.4599609375,7691.52001953125,11419.48046875,25657.73046875
2019-03-27,2805.3701171875,7643.3798828125,11419.0400390625,25625.58984375
2019-03-28,2815.43994140625,7669.169921875,11428.16015625,25717.4609375
2019-03-29,2834.39990234375,7729.31982421875,11526.0400390625,25928.6796875
2019-04-01,2867.18994140625,7828.91015625,11681.990234375,26258.419921875
2019-04-02,2867.239990234375,7848.68994140625,11754.7900390625,26179.130859375
2019-04-03,2873.39990234375,7895.5498046875,11954.400390625,26218.130859375
2019-04-04,2879.389892578125,7891.77978515625,11988.009765625,26384.630859375
2019-04-05,2892.739990234375,7938.68994140625,12009.75,26424.990234375
2019-04-08,2895.77001953125,7953.8798828125,11963.400390625,26341.01953125
2019-04-09,2878.199951171875,7909.27978515625,11850.5703125,26150.580078125
2019-04-10,2888.2099609375,7964.240234375,11905.91015625,26157.16015625
2019-04-11,2888.320068359375,7947.35986328125,11935.2001953125,26143.05078125
2019-04-12,2907.409912109375,7984.16015625,11999.9296875,26412.30078125
2019-04-15,2905.580078125,7976.009765625,12020.2802734375,26384.76953125
2019-04-16,2907.06005859375,8000.22998046875,12101.3203125,26452.66015625
2019-04-17,2900.449951171875,7996.080078125,12153.0703125,26449.5390625
2019-04-18,2905.030029296875,7998.06005859375,12222.3896484375,26559.5390625
2019-04-22,2907.969970703125,8015.27001953125,,26511.05078125
2019-04-23,2933.679931640625,8120.81982421875,12235.509765625,26656.390625
2019-04-24,2927.25,8102.009765625,12313.16015625,26597.05078125
2019-04-25,2926.169921875,8118.68017578125,12282.599609375,26462.080078125
2019-04-26,2939.8798828125,8146.39990234375,12315.1796875,26543.330078125
2019-04-29,2943.030029296875,8161.85009765625,12328.01953125,26554.390625
2019-04-30,2945.830078125,8095.39013671875,12344.080078125,26592.91015625
2019-05-01,2923.72998046875,8049.64013671875,,26430.140625
2019-05-02,2917.52001953125,8036.77001953125,12345.419921875,26307.7890625
2019-05-03,2945.639892578125,8164.0,12412.75,26504.94921875
2019-05-06,2932.469970703125,8123.2900390625,12286.8798828125,26438.48046875
2019-05-07,2884.050048828125,7963.759765625,12092.740234375,25965.08984375
2019-05-08,2879.419921875,7943.31982421875,12179.9296875,25967.330078125
2019-05-09,2870.719970703125,7910.58984375,11973.919921875,25828.359375
2019-05-10,2881.39990234375,7916.93994140625,12059.830078125,25942.369140625
2019-05-13,2811.8701171875,7647.02001953125,11876.650390625,25324.990234375
2019-05-14,2834.409912109375,7734.490234375,11991.6201171875,25532.05078125
2019-05-15,2850.9599609375,7822.14990234375,12099.5703125,25648.01953125
2019-05-16,2876.320068359375,7898.0498046875,12310.3701171875,25862.6796875
2019-05-17,2859.530029296875,7816.27978515625,12238.9404296875,25764.0
2019-05-20,2840.22998046875,7702.3798828125,12041.2900390625,25679.900390625
2019-05-21,2864.360107421875,7785.72021484375,12143.4697265625,25877.330078125
2019-05-22,2856.27001953125,7750.83984375,12168.740234375,25776.609375
2019-05-23,2822.239990234375,7628.27978515625,11952.41015625,25490.470703125
2019-05-24,2826.06005859375,7637.009765625,12011.0400390625,25585.689453125
2019-05-28,2802.389892578125,7607.35009765625,12027.0498046875,25347.76953125
2019-05-29,2783.02001953125,7547.31005859375,11837.8095703125,25126.41015625
2019-05-30,2788.860107421875,7567.72021484375,11902.080078125,25169.880859375
2019-05-31,2752.06005859375,7453.14990234375,11726.83984375,24815.0390625
2019-06-03,2744.449951171875,7333.02001953125,11792.8095703125,24819.779296875
2019-06-04,2803.27001953125,7527.1201171875,11971.169921875,25332.1796875
2019-06-05,2826.14990234375,7575.47998046875,11980.8095703125,25539.5703125
2019-06-06,2843.489990234375,7615.5498046875,11953.1396484375,25720.66015625
2019-06-07,2873.340087890625,7742.10009765625,12045.3798828125,25983.939453125
2019-06-10,2886.72998046875,7823.169921875,,26062.6796875
2019-06-11,2885.719970703125,7822.56982421875,12155.8095703125,26048.509765625
2019-06-12,2879.840087890625,7792.72021484375,12115.6796875,26004.830078125
2019-06-13,2891.639892578125,7837.1298828125,12169.0498046875,26106.76953125
2019-06-14,2886.97998046875,7796.66015625,12096.400390625,26089.609375
2019-06-17,2894.760009765625,7861.076171875,12085.8203125,26152.240234375
