Date,ITUB4.SA,ABEV3.SA,USIM5.SA,PMAM3.SA,FLRY3.SA,TIET11.SA
2018-06-18,24.366466522216797,18.166399002075195,7.275534629821777,19.3799991607666,22.627687454223633,
2018-06-19,25.465768814086914,18.421157836914062,7.4035210609436035,19.549999237060547,23.81911849975586,
2018-06-20,25.937864303588867,18.166399002075195,7.5511980056762695,19.209999084472656,23.256763458251953,
2018-06-21,25.24596405029297,17.764659881591797,7.147548198699951,19.719999313354492,22.637218475341797,
2018-06-22,25.43996238708496,17.794055938720703,7.049097061157227,21.25,23.123323440551758,
2018-06-25,25.49166488647461,17.852846145629883,7.039252281188965,20.399999618530273,23.399734497070312,
2018-06-26,25.40756607055664,17.725465774536133,6.999871730804443,19.889999389648438,24.86758041381836,
2018-06-27,24.94846534729004,17.588287353515625,7.039252281188965,19.549999237060547,24.42913246154785,
2018-06-28,25.640363693237305,17.647077560424805,7.314914703369141,19.040000915527344,24.972427368164062,
2018-06-29,26.086570739746094,17.6176815032959,7.2066192626953125,19.040000915527344,25.21071434020996,
2018-07-02,26.107633590698242,17.774457931518555,7.11801290512085,19.040000915527344,24.50538444519043,
2018-07-03,26.722278594970703,17.725465774536133,7.629958629608154,19.040000915527344,25.25836944580078,
2018-07-04,27.155820846557617,17.73526382446289,8.092679023742676,18.8700008392334,25.487125396728516,
2018-07-05,26.981117248535156,18.029218673706055,7.96469259262085,18.8700008392334,25.325090408325195,
2018-07-06,27.226959228515625,17.725465774536133,7.915466785430908,18.8700008392334,25.849321365356445,
2018-07-10,27.298198699951172,17.82345199584961,7.7579450607299805,19.549999237060547,26.10666847229004,
2018-07-11,27.408159255981445,17.54909324645996,7.413366317749023,22.270000457763672,26.354488372802734,
2018-07-12,27.925748825073242,17.8724422454834,8.102522850036621,21.93000030517578,26.306833267211914,
2018-07-13,28.637544631958008,18.06841278076172,8.191129684448242,23.969999313354492,26.40214729309082,
2018-07-16,28.53398895263672,18.56813621520996,8.20097541809082,24.309999465942383,26.697620391845703,
2018-07-17,29.07099151611328,18.783702850341797,8.5652437210083,24.81999969482422,27.1741943359375,
2018-07-18,28.70218276977539,18.38196563720703,8.279735565185547,23.969999313354492,27.24091339111328,
2018-07-19,29.116317749023438,18.49954605102539,8.230509757995605,23.799999237060547,27.03122329711914,
2018-07-20,29.94448471069336,18.411361694335938,8.693229675292969,23.969999313354492,26.688087463378906,
2018-07-23,29.36865997314453,18.274181365966797,8.683384895324707,24.479999542236328,26.392616271972656,
2018-07-24,29.349246978759766,18.587732315063477,8.880288124084473,24.139999389648438,26.66902732849121,
2018-07-25,30.274463653564453,18.51914405822754,9.106724739074707,24.139999389648438,26.497459411621094,
2018-07-26,29.79569435119629,19.489192962646484,8.9885835647583,22.440000534057617,26.58324432373047,
2018-07-27,29.957483291625977,19.410804748535156,9.008273124694824,22.270000457763672,26.11620330810547,
2018-07-30,30.390928268432617,19.303022384643555,9.018118858337402,20.56999969482422,25.83979034423828,
2018-07-31,29.116317749023438,19.01886558532715,8.732610702514648,21.420000076293945,26.097137451171875,
2018-08-01,29.486961364746094,19.058061599731445,8.653849601745605,20.90999984741211,25.907695770263672,
2018-08-02,29.59047508239746,18.90128517150879,8.82121753692627,20.56999969482422,26.483423233032227,
2018-08-03,30.296123504638672,18.911083221435547,8.909823417663574,20.90999984741211,26.991979598999023,
2018-08-06,30.075986862182617,18.911083221435547,8.693229675292969,20.399999618530273,27.01116943359375,
2018-08-07,29.89478874206543,18.783702850341797,8.594779014587402,20.229999542236328,26.099605560302734,
2018-08-08,29.195646286010742,18.77390480041504,8.663695335388184,20.229999542236328,26.397062301635742,
2018-08-09,29.040281295776367,18.88168716430664,8.397876739501953,20.399999618530273,26.147581100463867,
2018-08-10,27.985069274902344,18.528942108154297,7.787479877471924,19.889999389648438,25.341564178466797,
2018-08-13,28.205198287963867,18.75430679321289,7.9745378494262695,21.93000030517578,25.42792320251465,
2018-08-14,28.787818908691406,19.01886558532715,8.132059097290039,21.420000076293945,26.636947631835938,
2018-08-15,28.593612670898438,19.02866554260254,7.807170391082764,20.739999771118164,25.936481475830078,
2018-08-16,28.55476951599121,18.62692642211914,7.876086235046387,21.079999923706055,26.53139877319336,
2018-08-17,27.823196411132812,18.793500900268555,7.817015647888184,20.90999984741211,25.754167556762695,
2018-08-20,27.6527156829834,18.76410484313965,8.240355491638184,20.90999984741211,25.955671310424805,
2018-08-21,27.295175552368164,18.597530364990234,7.876086235046387,20.059999465942383,25.063297271728516,
2018-08-22,27.94530487060547,18.51914405822754,8.013917922973633,20.56999969482422,25.38953971862793,
2018-08-23,26.859512329101562,18.558338165283203,7.895776748657227,20.059999465942383,24.69866943359375,
2018-08-24,27.061107635498047,18.68571662902832,8.033607482910156,19.889999389648438,24.833003997802734,
2018-08-27,27.9583740234375,18.744508743286133,8.1419038772583,20.399999618530273,25.245609283447266,
2018-08-28,27.76331329345703,18.715112686157227,8.063142776489258,20.229999542236328,24.48756980895996,
2018-08-29,28.22492218017578,18.862091064453125,8.20097541809082,20.399999618530273,24.477975845336914,
2018-08-30,27.113086700439453,18.617128372192383,7.95484733581543,19.889999389648438,24.516355514526367,
2018-08-31,27.48369789123535,18.470151901245117,7.94500207901001,20.059999465942383,24.660289764404297,
2018-09-03,27.108009338378906,18.25458335876465,7.895776748657227,20.229999542236328,24.257278442382812,
2018-09-04,26.873817443847656,17.647077560424805,7.885931491851807,21.25,23.892650604248047,
2018-09-05,27.029943466186523,17.774457931518555,7.7579450607299805,21.420000076293945,24.122941970825195,
