Date,^BVSP,^GSPC,^IXIC,^GDAXI,^DJI
2018-06-18,69815.0,2773.75,7747.02978515625,12834.1103515625,24987.470703125
2018-06-19,71394.0,2762.590087890625,7725.58984375,12677.9697265625,24700.2109375
2018-06-20,72123.0,2767.320068359375,7781.509765625,12695.16015625,24657.80078125
2018-06-21,70075.0,2749.760009765625,7712.9501953125,12511.91015625,24461.69921875
2018-06-22,70641.0,2754.8798828125,7692.81982421875,12579.7197265625,24580.890625
2018-06-25,70953.0,2717.070068359375,7532.009765625,12270.330078125,24252.80078125
2018-06-26,71405.0,2723.06005859375,7561.6298828125,12234.33984375,24283.109375
2018-06-27,70609.0,2699.6298828125,7445.080078125,12348.6103515625,24117.58984375
2018-06-28,71767.0,2716.31005859375,7503.68017578125,12177.23046875,24216.05078125
2018-06-29,72763.0,2718.3701171875,7510.2998046875,12306.0,24271.41015625
2018-07-02,72840.0,2726.7099609375,7567.68994140625,12238.169921875,24307.1796875
2018-07-03,73668.0,2713.219970703125,7502.669921875,12349.1396484375,24174.8203125
2018-07-04,74743.0,,,12317.6103515625,
2018-07-05,74553.0,2736.610107421875,7586.43017578125,12464.2900390625,24356.740234375
2018-07-06,75010.0,2759.820068359375,7688.39013671875,12496.169921875,24456.48046875
2018-07-10,74862.0,2793.840087890625,7759.2001953125,12609.849609375,24919.66015625
2018-07-11,74399.0,2774.02001953125,7716.60986328125,12417.1298828125,24700.44921875
2018-07-12,75856.0,2798.2900390625,7823.919921875,12492.9697265625,24924.890625
2018-07-13,76594.0,2801.31005859375,7825.97998046875,12540.73046875,25019.41015625
2018-07-16,76653.0,2798.429931640625,7805.72021484375,12561.01953125,25064.359375
2018-07-17,78130.0,2809.550048828125,7855.1201171875,12661.5400390625,25119.890625
2018-07-18,77363.0,2815.6201171875,7854.43994140625,12765.9404296875,25199.2890625
2018-07-19,77487.0,2804.489990234375,7825.2998046875,12686.2900390625,25064.5
2018-07-20,78571.0,2801.830078125,7820.2001953125,12561.419921875,25058.119140625
2018-07-23,77996.0,2806.97998046875,7841.8701171875,12548.5703125,25044.2890625
2018-07-24,79155.0,2820.39990234375,7840.77001953125,12689.3896484375,25241.939453125
2018-07-25,80218.0,2846.070068359375,7932.240234375,12579.330078125,25414.099609375
2018-07-26,79405.0,2837.43994140625,7852.18017578125,12809.23046875,25527.0703125
2018-07-27,79866.0,2818.820068359375,7737.419921875,12860.400390625,25451.060546875
2018-07-30,80276.0,2802.60009765625,7630.0,12798.2001953125,25306.830078125
2018-07-31,79220.0,2816.2900390625,7671.7900390625,12805.5,25415.189453125
2018-08-01,79302.0,2813.360107421875,7707.2900390625,12737.0498046875,25333.8203125
2018-08-02,79637.0,2827.219970703125,7802.68994140625,12546.330078125,25326.16015625
2018-08-03,81435.0,2840.35009765625,7812.009765625,12615.759765625,25462.580078125
2018-08-06,81051.0,2850.39990234375,7859.68017578125,12598.2099609375,25502.1796875
2018-08-07,80347.0,2858.449951171875,7883.66015625,12648.1904296875,25628.91015625
2018-08-08,79152.0,2857.699951171875,7888.330078125,12633.5400390625,25583.75
2018-08-09,78768.0,2853.580078125,7891.77978515625,12676.1103515625,25509.23046875
2018-08-10,76514.0,2833.280029296875,7839.10986328125,12424.349609375,25313.140625
2018-08-13,77496.0,2821.929931640625,7819.7099609375,12358.740234375,25187.69921875
2018-08-14,78602.0,2839.9599609375,7870.89013671875,12358.8701171875,25299.919921875
2018-08-15,77078.0,2818.3701171875,7774.1201171875,12163.009765625,25162.41015625
2018-08-16,76819.0,2840.68994140625,7806.52001953125,12237.169921875,25558.73046875
2018-08-17,76029.0,2850.1298828125,7816.330078125,12210.5498046875,25669.3203125
2018-08-20,76328.0,2857.050048828125,7821.009765625,12331.2998046875,25758.689453125
2018-08-21,75180.0,2862.9599609375,7859.169921875,12384.490234375,25822.2890625
2018-08-22,76902.0,2861.820068359375,7889.10009765625,12385.7001953125,25733.599609375
2018-08-23,75634.0,2856.97998046875,7878.4599609375,12365.580078125,25656.98046875
2018-08-24,76262.0,2874.68994140625,7945.97998046875,12394.51953125,25790.349609375
2018-08-27,77930.0,2896.739990234375,8017.89990234375,12538.3095703125,26049.640625
2018-08-28,77473.0,2897.52001953125,8030.0400390625,12527.419921875,26064.01953125
